system,basis,atom,dE_dx,dE_dy,dE_dz
alanine_dipeptide,cc-pvdz,16,-0.003073840931357541,0.0031488143135796065,0.007550329316937665
alanine_dipeptide,cc-pvdz,17,-0.005548999470937677,0.003356871230367542,-0.004423652403305223
alanine_dipeptide,cc-pvdz,18,0.00527371536149035,-0.004099131717993476,0.0021696473391464854
alanine_dipeptide,cc-pvdz,19,-0.011676254862014401,-0.0033408809901548375,-0.00869370140614456
alanine_dipeptide,cc-pvdz,20,-0.004182370460235507,0.006276139352307086,0.0022874421458201066
alanine_dipeptide,cc-pvdz,21,-0.0029533933632552856,-0.0077943310657961895,0.004889936739523426
alanine_dipeptide,cc-pvtz,0,-0.0033989586994431775,-0.0026761596476445604,0.0044384454254142724
alanine_dipeptide,cc-pvtz,1,0.0015530242636385694,0.0010412562626624933,0.0014035354817556467
alanine_dipeptide,cc-pvtz,2,-0.0024655245082847443,0.0007302429672451094,-0.005113605560245205
alanine_dipeptide,cc-pvtz,3,-0.001543479954058652,-0.0014205607372290707,-0.011868598578250733
alanine_dipeptide,cc-pvtz,4,-0.001917297347439506,0.008156120732165206,0.011758415802617606
alanine_dipeptide,cc-pvtz,5,-0.00033569597342930635,0.005767580839291853,-0.002247376489803443
alanine_dipeptide,cc-pvtz,6,-0.0039416113520215346,-0.016078795369062204,-0.009264917736188372
alanine_dipeptide,cc-pvtz,7,0.002729405600801371,0.0017152250809004954,0.005431461212671351
alanine_dipeptide,cc-pvtz,8,0.009727419317163477,0.017012378341209278,0.0017331700124842975
alanine_dipeptide,cc-pvtz,9,0.0015296446859665025,-0.0028959571149131946,-0.0030831231940002812
alanine_dipeptide,cc-pvtz,10,-5.951529930370292e-05,-0.0005447368101286765,0.0044116721725302455
alanine_dipeptide,cc-pvtz,11,0.003870092804859837,-0.00034127288992202853,0.0002600654180981987
alanine_dipeptide,cc-pvtz,12,0.0034832784670506545,-0.0003624347936810324,-0.0008976687784634854
alanine_dipeptide,cc-pvtz,13,0.00018921372320052088,-0.0007514644732520004,0.0014763155450121523
alanine_dipeptide,cc-pvtz,14,0.00396026988142445,-0.0037823689109607317,-0.0004605028844535397
alanine_dipeptide,cc-pvtz,15,0.0016286924721451435,-0.0028746568090107782,-0.0013335191728187645
alanine_dipeptide,cc-pvtz,16,-0.0017934204399608633,0.0004112973779191176,0.001825584881269382
alanine_dipeptide,cc-pvtz,17,-0.0019879932876980533,6.291440301309237e-05,-0.00017986899613808838
alanine_dipeptide,cc-pvtz,18,0.0008101627419716539,-9.204301814325078e-05,0.0030622368311045978
alanine_dipeptide,cc-pvtz,19,-0.008934077274464158,-0.0020505630498990346,-0.002490145795687626
alanine_dipeptide,cc-pvtz,20,-0.000504677973354628,0.0013440341734186623,-0.0003044527351976356
alanine_dipeptide,cc-pvtz,21,-0.002571380103748022,-0.002327755487007366,0.0015040367699095114
alanine_dipeptide,cc-pvqz,0,-0.003189582594259832,-0.0027894220874777886,0.004377935209790351
alanine_dipeptide,cc-pvqz,1,0.0014976750433817188,0.0012471306299008944,0.0009261722410709439
alanine_dipeptide,cc-pvqz,2,-0.0031264151084204883,0.0006035620558413335,-0.0037240857672298233
alanine_dipeptide,cc-pvqz,3,-0.0011184884704316111,-0.001137992516367925,-0.01229874173434986
alanine_dipeptide,cc-pvqz,4,-0.0015868990653858939,0.008133723402401927,0.011936377322716574
alanine_dipeptide,cc-pvqz,5,-0.00021182915805173508,0.005942999192122045,-0.0022137036722580383
alanine_dipeptide,cc-pvqz,6,-0.0049610059943250295,-0.015561705420408134,-0.009355667159671677
alanine_dipeptide,cc-pvqz,7,0.003986291638698347,0.00028829201747271327,0.0056848387840569
alanine_dipeptide,cc-pvqz,8,0.00946808035635005,0.017234732469779246,0.00128744666834546
alanine_dipeptide,cc-pvqz,9,0.0014743005713100388,-0.002886960404724803,-0.0031266984792714947
alanine_dipeptide,cc-pvqz,10,0.00014778602474851965,-0.0004424852661598644,0.004054103093102057
alanine_dipeptide,cc-pvqz,11,0.0035874587223663212,-0.0004872782123317432,0.00017991918820592367
alanine_dipeptide,cc-pvqz,12,0.003369857337866655,-0.00013145179991891354,-0.0007560293479365598
alanine_dipeptide,cc-pvqz,13,0.0004185534516850664,-0.0008311838642925673,0.0011153565040626923
alanine_dipeptide,cc-pvqz,14,0.0036495549078546796,-0.003680724565380822,-0.00037239581701298263
alanine_dipeptide,cc-pvqz,15,0.0013040354463016435,-0.0028858069695947286,-0.0012285075860709593
alanine_dipeptide,cc-pvqz,16,-0.001739984926522567,0.000281752856972739,0.0015513582207953291
alanine_dipeptide,cc-pvqz,17,-0.0017196154548282383,-8.173732356109298e-05,-1.2833106071807876e-05
alanine_dipeptide,cc-pvqz,18,0.00048420728978504357,0.0001493955772984279,0.003152236930357738
alanine_dipeptide,cc-pvqz,19,-0.008727802101057724,-0.0019491130157469616,-0.00215475821817801
alanine_dipeptide,cc-pvqz,20,-0.00037559724266778005,0.0009734307294456679,-0.0003106962322414475
alanine_dipeptide,cc-pvqz,21,-0.00258293079606986,-0.0019873279181226167,0.0013141614293179504
